1,bMaxHp
2,bMaxSP
3,bStr
4,bAgi
5,bVit
6,bInt
7,bDex
8,bLuk
9,bMaxHPRate
10,bMaxSpRate
//  [EnumVAR.VAR_HPACCELERATION[1]] = "Increases natural HP regeneration by %d%%",
//  [EnumVAR.VAR_SPACCELERATION[1]] = "Increases natural SP regeneration by %d%%",
13,bAtkRate
14,bMatkRate
15,bAspd
16,bAspdRate
17,bBaseAtk
18,bHit
19,bMatk
20,bDef
21,bMdef
22,bFlee
23,bFlee2
24,bCritical
25,bSubEle,Ele_Neutral
26,bSubEle,Ele_Water
27,bSubEle,Ele_Earth
28,bSubEle,Ele_Fire
29,bSubEle,Ele_Wind
30,bSubEle,Ele_Poison
31,bSubEle,Ele_Holy
32,bSubEle,Ele_Dark
33,bSubEle,Ele_Ghost
34,bSubEle,Ele_Undead
//  [EnumVAR.ATTR_TOLERACE_ALL[1]] = "Increases resistance against all properties attack by %d%%",
36,bSubSrcEle,Ele_Neutral
37,bAddEle,Ele_Neutral
38,bSubSrcEle,Ele_Water
39,bAddEle,Ele_Water
40,bSubSrcEle,Ele_Earth
41,bAddEle,Ele_Earth
42,bSubSrcEle,Ele_Fire
43,bAddEle,Ele_Fire
44,bSubSrcEle,Ele_Wind
45,bAddEle,Ele_Wind
46,bSubSrcEle,Ele_Poison
47,bAddEle,Ele_Poison
48,bSubSrcEle,Ele_Holy
49,bAddEle,Ele_Holy
50,bSubSrcEle,Ele_Dark
51,bAddEle,Ele_Dark
52,bSubSrcEle,Ele_Ghost
53,bAddEle,Ele_Ghost
54,bSubSrcEle,Ele_Undead
55,bAddEle,Ele_Undead
//  [EnumVAR.MDAMAGE_PROPERTY_NOTHING_USER[1]] = "Decreases magical damage received from Neutral property monster by %d%%",
57,bMagicAddEle,Ele_Neutral
//  [EnumVAR.MDAMAGE_PROPERTY_WATER_USER[1]] = "Decreases magical damage received from Water property monster by %d%%",
59,bMagicAddEle,Ele_Water
//  [EnumVAR.MDAMAGE_PROPERTY_GROUND_USER[1]] = "Decreases magical damage received from Earth property monster by %d%%",
61,bMagicAddEle,Ele_Earth
//  [EnumVAR.MDAMAGE_PROPERTY_FIRE_USER[1]] = "Decreases magical damage received from Fire property monster by %d%%",
63,bMagicAddEle,Ele_Fire
//  [EnumVAR.MDAMAGE_PROPERTY_WIND_USER[1]] = "Decreases magical damage received from Wind property monster by %d%%",
65,bMagicAddEle,Ele_Wind
//  [EnumVAR.MDAMAGE_PROPERTY_POISON_USER[1]] = "Decreases magical damage received from Poison property monster by %d%%",
67,bMagicAddEle,Ele_Poison
//  [EnumVAR.MDAMAGE_PROPERTY_SAINT_USER[1]] = "Decreases magical damage received from Holy property monster by %d%%",
69,bMagicAddEle,Ele_Holy
//  [EnumVAR.MDAMAGE_PROPERTY_DARKNESS_USER[1]] = "Decreases magical damage received from Shadow property monster by %d%%",
71,bMagicAddEle,Ele_Dark
//  [EnumVAR.MDAMAGE_PROPERTY_TELEKINESIS_USER[1]] = "Decreases magical damage received from Ghost property monster by %d%%",
73,bMagicAddEle,Ele_Ghost
//  [EnumVAR.MDAMAGE_PROPERTY_UNDEAD_USER[1]] = "Decreases magical damage received from Undead property monster by %d%%",
75,bMagicAddEle,Ele_Undead
76,bDefEle,Ele_Neutral
77,bDefEle,Ele_Water
78,bDefEle,Ele_Earth
