//level`, `item_id`, `amount`, `lose

1, 675, 1, 1 //Silver_Coin
1, 671, 1, 0 //Gold_Coin
1, 678, 1, 0 //Poison_Bottle
1, 604, 1, 0 //Branch_Of_Dead_Tree
1, 522, 1, 0 //Fruit_Of_Mastela
1, 671, 1, 0 // Old_Ore_Box
1, 12523, 1, 0 //E_Inc_Agi_10_Scroll
1, 985, 1, 0 //Elunium
1, 984, 1, 0 //Oridecon

2, 675, 1, 1 //Silver_Coin
2, 671, 1, 0 //Gold_Coin
2, 603, 1, 0 //Old_Blue_Box
2, 608, 1, 0 //Seed_Of_Yggdrasil
2, 607, 1, 0 //Yggdrasilberry
2, 12522, 1, 0 //E_Blessing_10_Scroll
2, 6223, 1, 0 //Carnium
2, 6224, 1, 0 //Bradium

3, 675, 1, 1 //Silver_Coin
3, 671, 1, 0 //Gold_Coin
3, 12108, 1, 0 //Bundle_Of_Magic_Scroll
3, 617, 1, 0 //Old_Violet_Box
3, 12514, 1, 0 //E_Abrasive
3, 7444, 1, 0 //Treasure_Box
3, 969, 1, 0 //Gold

4, 675, 1, 1 //Silver_Coin
4, 671, 1, 0 //Gold_Coin
4, 616, 1, 0 //Old_Card_Album
4, 12516, 1, 0 //E_Small_Life_Potion
4, 22777, 1, 0 //Gift_Buff_Set
4, 6231, 1, 0 //Guarantee_Weapon_6Up

5, 671, 1, 1 //Gold_Coin
5, 12246, 1, 0 //Magic_Card_Album
5, 12263, 1, 0 //Comp_Battle_Manual
5, 671, 1, 0 //Potion_Box
5, 6235, 1, 0 //Guarantee_Armor_6Up

6, 671, 1, 1 //Gold_Coin
6, 12766, 1, 0 //Reward_Job_BM25
6, 6234, 1, 0 //Guarantee_Armor_7Up
6, 6233, 1, 0 //Guarantee_Armor_8Up

7, 671, 1, 1 //Gold_Coin
7, 6233, 1, 0 //Guarantee_Armor_8Up
7, 6233, 1, 0 //Guarantee_Armor_8Up - KRO lists this twice
