// 数据结构:
// <魔物ID>,<编号>
// 全局被bAddClass, bSubClass等bonus影响。
// Class_FixedItemDrop: 无法偷窃，无法变形
// Class_BattleGround: 无法治愈
1324,Class_FixedItemDrop
1325,Class_FixedItemDrop
1326,Class_FixedItemDrop
1327,Class_FixedItemDrop
1328,Class_FixedItemDrop
1329,Class_FixedItemDrop
1330,Class_FixedItemDrop
1331,Class_FixedItemDrop
1332,Class_FixedItemDrop
1333,Class_FixedItemDrop
1334,Class_FixedItemDrop
1335,Class_FixedItemDrop
1336,Class_FixedItemDrop
1337,Class_FixedItemDrop
1338,Class_FixedItemDrop
1339,Class_FixedItemDrop
1340,Class_FixedItemDrop
1341,Class_FixedItemDrop
1342,Class_FixedItemDrop
1343,Class_FixedItemDrop
1344,Class_FixedItemDrop
1345,Class_FixedItemDrop
1346,Class_FixedItemDrop
1347,Class_FixedItemDrop
1348,Class_FixedItemDrop
1349,Class_FixedItemDrop
1350,Class_FixedItemDrop
1351,Class_FixedItemDrop
1352,Class_FixedItemDrop
1353,Class_FixedItemDrop
1354,Class_FixedItemDrop
1355,Class_FixedItemDrop
1356,Class_FixedItemDrop
1357,Class_FixedItemDrop
1358,Class_FixedItemDrop
1359,Class_FixedItemDrop
1360,Class_FixedItemDrop
1361,Class_FixedItemDrop
1362,Class_FixedItemDrop
1363,Class_FixedItemDrop
1938,Class_FixedItemDrop
1939,Class_FixedItemDrop
1940,Class_FixedItemDrop
1941,Class_FixedItemDrop
1942,Class_FixedItemDrop
1943,Class_FixedItemDrop
1944,Class_FixedItemDrop
1945,Class_FixedItemDrop
1946,Class_FixedItemDrop
1288,Class_BattleGround
1906,Class_BattleGround
1909,Class_BattleGround
1910,Class_BattleGround
1911,Class_BattleGround
1912,Class_BattleGround
1913,Class_BattleGround
1914,Class_BattleGround
1915,Class_BattleGround
1905,Class_Boss
1907,Class_Boss
1908,Class_Boss
1285,Class_Guardian
1286,Class_Guardian
1287,Class_Guardian
1899,Class_Guardian
1900,Class_Guardian
//1022,Class_Boss
//1027,Class_Boss
1038,Class_Boss
1039,Class_Boss
//1043,Class_Boss
1046,Class_Boss
1059,Class_Boss
1086,Class_Boss
1087,Class_Boss
1089,Class_Boss
1090,Class_Boss
1091,Class_Boss
1092,Class_Boss
1093,Class_Boss
1096,Class_Boss
1112,Class_Boss
1115,Class_Boss
1120,Class_Boss
//1136,Class_Boss
//1137,Class_Boss
1147,Class_Boss
1150,Class_Boss
1157,Class_Boss
1159,Class_Boss
//1168,Class_Boss
