// Job-specific Values Database
//
// Structure of Database:
// JobID,Weight,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,1HMace,2HMace(unused),Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff
//
// 初学者
0,20000,500,650,700,2000,2000,2000,800,2000,700,700,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,650
// 剑士
1,28000,400,500,550,600,650,700,700,750,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 魔法师
2,22000,500,600,2000,2000,2000,2000,2000,2000,2000,2000,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,700
// 弓箭手
3,26000,400,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 服事
4,24000,400,2000,2000,2000,2000,2000,2000,2000,600,600,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,600
// 商人
5,28000,400,600,700,2000,2000,2000,700,750,700,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 盗贼
6,24000,400,500,650,2000,2000,2000,800,2000,2000,2000,2000,800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 骑士
7,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 祭司
8,26000,400,2000,2000,2000,2000,2000,2000,2000,600,600,600,2000,2000,2000,2000,600,2000,2000,2000,2000,2000,2000,2000,600
// 巫师
9,24000,500,575,2000,2000,2000,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,625
// 铁匠
10,30000,400,600,650,2000,2000,2000,650,650,675,675,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 猎人
11,27000,400,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 刺客
12,24000,400,500,650,2000,2000,2000,800,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,2000,2000,2000,2000,2000,2000,2000
// 骑士 (骑鸟)
13,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 十字军
14,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 武道家
15,26000,400,2000,2000,2000,2000,2000,2000,2000,575,575,575,2000,475,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,575
// 贤者
16,24000,450,525,2000,2000,2000,2000,2000,2000,2000,2000,625,2000,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,625
// 流氓
17,24000,400,500,550,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 炼金术师
18,30000,400,550,575,2000,2000,2000,675,700,650,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 吟游诗人
19,27000,400,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,575,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 舞娘
20,27000,400,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,650,2000,2000,575,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 十字军 (骑鸟)
21,28000,400,500,500,550,600,600,700,700,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 结婚
22,20000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 超级初学者
23,20000,500,650,700,2000,2000,2000,800,2000,700,700,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,650
// 枪手
24,28000,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,700,750,700,1500,1500,2000,2000
// 忍者
25,26000,400,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,750,2000
// 进阶初学者
4001,20000,500,650,700,2000,2000,2000,800,2000,700,700,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,650
// 进阶剑士
4002,28000,400,500,550,600,650,700,700,750,650,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 进阶魔法师
4003,22000,500,600,2000,2000,2000,2000,2000,2000,2000,2000,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,700
// 进阶弓箭手
4004,26000,400,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 进阶服事
4005,24000,400,2000,2000,2000,2000,2000,2000,2000,600,600,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,600
// 进阶商人
4006,28000,400,600,700,2000,2000,2000,700,750,700,700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 进阶盗贼
4007,24000,400,500,650,2000,2000,2000,800,2000,2000,2000,2000,800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// 骑士领主
